,Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa
78,democrat,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
79,republican,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
80,democrat,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,?
81,democrat,y,n,y,n,n,n,y,y,?,y,y,y,n,y,n,y
82,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
83,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
84,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n
85,democrat,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
86,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
87,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
88,democrat,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y
89,republican,n,n,n,y,y,y,n,n,n,y,n,?,y,y,n,?
90,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
91,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
92,democrat,y,y,y,n,n,n,y,y,n,y,y,n,n,?,y,y
93,democrat,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y
94,democrat,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
95,democrat,y,n,y,n,y,y,n,?,?,n,y,?,?,?,y,y
96,democrat,n,n,?,n,y,y,n,n,n,n,y,y,y,y,n,y
97,democrat,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y
98,democrat,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
99,republican,n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,n
100,democrat,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
101,democrat,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
102,democrat,y,n,y,n,y,y,y,n,?,n,y,n,y,y,y,?
103,democrat,y,n,n,n,y,y,?,n,?,n,n,n,n,y,?,n
104,democrat,?,?,?,?,n,y,y,y,y,y,?,n,y,y,n,?
105,democrat,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
106,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
107,republican,n,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?
108,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
109,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
110,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
111,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
112,democrat,n,?,y,n,n,y,y,y,n,y,n,n,n,n,y,?
113,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n
114,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
115,democrat,n,?,y,n,?,?,y,y,y,y,?,?,n,n,y,y
116,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
117,republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
118,democrat,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
119,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
120,republican,n,?,?,y,y,y,n,n,n,y,n,y,y,y,?,y
121,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
122,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
123,republican,y,?,n,y,y,y,n,y,n,n,n,y,y,y,n,y
124,democrat,n,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y
125,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
126,republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n
127,democrat,n,?,y,n,n,n,y,y,y,y,y,n,n,y,y,y
128,democrat,n,?,y,n,n,y,n,y,n,y,y,n,n,n,y,y
129,democrat,?,?,y,n,n,n,y,y,?,n,?,?,?,?,?,?
130,democrat,y,?,y,n,?,?,y,y,y,n,n,n,n,n,y,?
131,democrat,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
132,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,?
133,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
134,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,?
135,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
136,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
137,democrat,n,?,y,n,n,y,y,y,y,y,n,n,n,y,y,y
138,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
139,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
140,republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
141,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,?,y
142,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
143,democrat,?,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y
144,democrat,n,?,n,n,n,y,y,y,y,y,n,n,n,y,n,?
145,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,?,y
146,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
147,democrat,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
148,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
149,democrat,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y
150,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
151,democrat,y,y,?,y,y,y,n,n,y,n,y,?,y,y,n,n
152,democrat,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
153,democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
154,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
155,republican,y,y,n,y,y,y,n,?,n,n,y,y,y,y,n,n
156,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n
157,democrat,n,y,y,n,n,y,n,y,y,n,y,n,?,?,?,?
158,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
159,democrat,n,y,y,n,?,y,y,y,y,y,y,n,n,?,n,?
160,democrat,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
161,democrat,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
162,democrat,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
163,republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
164,democrat,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,?
165,democrat,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,?
166,republican,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
167,republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
168,democrat,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,?
169,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
170,democrat,y,n,y,n,n,n,?,y,y,?,n,n,n,n,y,?
171,republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
172,democrat,n,y,y,n,n,n,y,y,y,y,n,n,?,n,y,y
173,democrat,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y
174,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
175,democrat,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
176,republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
177,democrat,n,n,y,n,n,n,y,y,y,y,y,?,n,n,y,y
178,democrat,?,n,y,n,n,n,y,y,y,y,y,?,n,n,y,?
179,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
180,democrat,?,?,y,n,n,n,y,y,y,?,?,n,n,n,?,?
181,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
182,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y
183,democrat,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?
184,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
185,democrat,y,n,y,n,n,n,y,y,y,y,n,?,n,n,y,y
186,democrat,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
187,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
188,republican,y,?,n,y,y,y,y,y,n,n,n,y,?,y,?,?
189,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
190,republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,?
191,republican,n,y,n,y,y,y,n,?,n,y,n,y,y,y,n,?
192,democrat,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y
193,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
194,democrat,n,n,y,n,n,y,y,?,y,y,y,n,n,n,y,y
195,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,?
196,democrat,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,?
197,republican,n,?,y,y,y,y,n,n,n,y,n,n,n,y,n,y
198,democrat,n,n,y,n,n,n,y,y,y,y,y,n,?,n,y,?
199,democrat,y,y,n,n,n,n,y,y,?,n,y,n,n,n,y,?
200,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
201,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
202,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
203,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
204,republican,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
205,democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
206,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
207,republican,y,?,n,y,y,y,y,n,n,y,n,y,y,y,n,y
208,democrat,n,n,y,n,n,n,y,y,y,n,n,?,n,n,y,y
209,democrat,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
210,democrat,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
211,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
212,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
213,democrat,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y
214,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
215,democrat,n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,?
216,democrat,y,y,y,n,y,y,n,n,?,y,n,n,n,y,y,?
217,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
218,democrat,y,?,y,n,n,n,y,y,y,n,?,n,n,n,y,?
219,democrat,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y
220,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
221,democrat,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,?
222,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?
223,republican,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y
224,republican,n,y,n,y,y,y,n,n,n,y,n,?,y,y,n,n
225,republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,y
226,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y
227,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,?,y
228,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,?,n,y
229,republican,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y
230,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
231,republican,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y
232,democrat,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,?
233,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
234,democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,?
235,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
236,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
237,democrat,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y
238,democrat,y,y,y,n,n,n,y,y,?,y,n,n,n,n,y,?
239,republican,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y
240,republican,n,n,n,y,n,y,y,?,y,n,n,y,y,y,n,y
241,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y
242,republican,n,n,n,n,y,y,y,n,n,n,n,?,n,y,y,y
243,democrat,n,y,y,n,n,n,y,y,?,y,n,n,y,n,y,y
244,democrat,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y
245,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
246,democrat,n,n,y,n,y,n,y,y,y,n,n,n,n,y,?,y
247,republican,n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n
248,republican,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
249,democrat,y,n,y,n,n,n,y,y,?,n,y,n,n,n,y,y
250,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
251,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
252,democrat,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y
253,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
254,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
255,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
256,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n
257,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,?,y
258,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
259,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
260,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
261,democrat,y,n,y,n,n,?,y,y,y,n,?,?,n,?,?,?
262,democrat,y,n,y,n,n,n,y,y,y,y,n,n,?,n,y,y
263,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
264,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
265,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
266,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
267,republican,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y
268,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
269,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
270,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
271,democrat,n,y,y,n,n,y,y,y,y,n,?,n,n,n,n,y
272,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,?
273,republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,?,y
274,republican,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y
275,democrat,n,n,y,n,y,y,n,n,n,n,?,n,y,y,n,n
276,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n
277,republican,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
278,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
279,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
280,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
281,republican,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,?
282,republican,y,n,n,y,y,y,n,n,n,y,n,?,y,y,n,n
283,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
284,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,?,y
285,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
286,democrat,n,n,y,n,n,y,?,y,?,y,y,y,n,y,y,?
287,democrat,y,y,y,?,n,y,y,y,y,n,y,n,y,n,?,y
288,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
289,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,?
290,democrat,y,n,y,n,?,y,?,y,y,y,n,n,y,y,n,y
291,democrat,y,n,y,n,n,y,y,y,y,y,n,?,n,y,n,y
292,democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y
293,democrat,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y
294,democrat,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,?
295,republican,n,y,n,y,y,y,?,?,n,y,n,y,?,?,?,?
296,republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y
297,democrat,y,y,y,n,n,y,y,y,y,y,n,n,?,n,y,?
298,democrat,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y
299,democrat,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
300,republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y
301,democrat,n,n,?,n,n,y,y,y,y,n,n,n,n,n,y,y
302,republican,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y
303,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
304,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?
305,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
306,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
307,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,?
308,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
309,democrat,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y
310,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n
311,democrat,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
312,democrat,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
313,republican,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y
314,republican,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y
315,republican,n,y,y,y,y,y,y,?,n,n,n,n,?,?,y,?
316,democrat,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n
317,democrat,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y
318,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
319,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
320,democrat,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y
321,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y
322,democrat,y,y,y,n,?,y,n,?,n,n,y,n,y,y,n,?
323,democrat,y,y,y,n,y,y,n,y,?,y,n,n,y,y,n,?
324,republican,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n
325,democrat,n,y,n,n,y,y,n,n,?,n,n,y,y,y,n,y
326,democrat,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y
327,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
328,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
329,democrat,y,?,y,n,n,y,y,y,y,y,n,n,n,n,y,?
330,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
331,democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
332,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?
333,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
334,democrat,n,y,y,n,n,y,y,y,?,n,y,y,n,n,y,y
335,republican,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,?
336,democrat,n,n,y,n,n,y,y,y,n,n,y,n,n,y,?,y
337,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
338,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
339,republican,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
340,republican,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y
341,democrat,n,?,y,?,n,y,y,y,y,y,y,n,?,?,y,y
342,democrat,n,y,y,n,y,?,y,n,n,y,y,n,y,n,y,y
343,republican,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y
344,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
345,republican,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y
346,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
347,republican,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
348,democrat,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,?
349,republican,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y
350,democrat,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y
351,republican,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y
352,democrat,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,?
353,republican,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y
354,democrat,n,y,y,n,n,y,y,y,y,y,n,?,n,n,y,y
355,republican,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y
356,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
357,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
358,democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,?
359,republican,n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,y
360,democrat,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
361,democrat,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,?
362,democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y
